accession,tax_id,strain,assembly_level,collection_date,geo_location,host,bioproject_id,biosample_id,source_type,title,year_clean,country_clean,host_clean,diversity_group
GCF_028421485.1,562,EC9952,Complete Genome,2022-06,China:Zhuhai,Homo sapiens,PRJNA880509,SAMN30844958,blood,Pathogen: clinical or host-associated sample from Escherichia coli,2022,China,human,China_human_2022
GCF_040539585.2,562,GIMC1405:EC_Lstone01,Complete Genome,1/23/24,Russia:Nizhny Novgorod,Homo sapiens,PRJNA561493,SAMN42021368,kidney matrix stone,Pathogen: clinical or host-associated sample from Escherichia coli,1/23/24,Russia,human,Russia_human_1/23/24
GCF_052887185.1,562,VTB97379v,Complete Genome,12/9/21,South Africa,Chicken,,SAMN41579927,,Microbe sample from Escherichia coli,12/9/21,South Africa,non-human,South Africa_non-human_12/9/21
GCF_055456235.1,562,CB8671,Complete Genome,2001,Germany,Homo sapiens,PRJNA1424694,SAMN55391926,missing,Microbe sample from Escherichia coli,2001,Germany,human,Germany_human_2001
GCF_055381085.1,562,e1-39,Complete Genome,2009,Japan:Hiroshima,Homo sapiens,,SAMD00521024,,e1-39,2009,Japan,human,Japan_human_2009
GCF_013393825.1,562,FT130,Complete Genome,1/12/17,China:Shen Zhen,Migratory bird,PRJNA540580,SAMN11547014,feces,Example: Escherichia coli isolate FT130 from migratory bird,1/12/17,China,non-human,China_non-human_1/12/17
GCF_008632555.1,562,AR202.2,Complete Genome,6/20/18,Switzerland:Zurich,dog,PRJNA565187,SAMN12736389,Rectal swab,Microbe sample from Escherichia coli,6/20/18,Switzerland,non-human,Switzerland_non-human_6/20/18
GCF_025995415.1,562,26_141088,Complete Genome,5/2/14,Japan,Homo sapiens,PRJDB13729,SAMD00495898,,26_141088,5/2/14,Japan,human,Japan_human_5/2/14
GCF_049666535.1,562,21AR0275,Complete Genome,2021,New Zealand,Homo sapiens,PRJNA1097666,SAMN45084045,blood,Pathogen: clinical or host-associated sample from Escherichia coli,2021,New Zealand,human,New Zealand_human_2021
GCA_024917815.1,562,5264,Complete Genome,9/25/19,USA: Houston,Homo sapiens,PRJNA836696,SAMN28174088,blood,Pathogen: clinical or host-associated sample from Escherichia coli,9/25/19,USA,human,USA_human_9/25/19
GCA_022759905.1,562,Ec-042-T0,Complete Genome,2019,Switzerland,Homo sapiens,PRJNA769291,SAMN22108716,stool,Pathogen: clinical or host-associated sample from Escherichia coli,2019,Switzerland,human,Switzerland_human_2019
GCF_051549655.1,562,EC2202095,Complete Genome,2022-11,Ireland,Homo sapiens,PRJNA1219142,SAMN46544988,missing,Pathogen: clinical or host-associated sample from Escherichia coli,2022,Ireland,human,Ireland_human_2022
GCF_051562005.1,562,AH19E045,Complete Genome,5/21/19,Australia:Melbourne,Homo sapiens,PRJNA1287288,SAMN49815510,blood,Pathogen: clinical or host-associated sample from Escherichia coli,5/21/19,Australia,human,Australia_human_5/21/19
GCA_013402895.1,562,EC1,Complete Genome,2019,Australia,Homo sapiens,PRJNA643009,SAMN15410927,urinary tract,Pathogen: clinical or host-associated sample from Escherichia coli,2019,Australia,human,Australia_human_2019
GCF_053078315.1,562,FXCREC043,Complete Genome,7/3/18,China: Shanghai,Homo sapiens,,SAMN49859838,missing,Escherichia coli FXCREC043 isolated from urine,7/3/18,China,human,China_human_7/3/18
GCA_002196495.1,562,EC1515,Complete Genome,12/10/07,Taiwan,Homo sapiens,PRJNA389338,SAMN07192704,urine; urinary tract infection,Pathogen: clinical or host-associated sample from Escherichia coli,12/10/07,Taiwan,human,Taiwan_human_12/10/07
GCA_002850675.5,562,SCEC020023,Complete Genome,10/27/16,"China: Sichuan, Yibin",Homo sapiens,PRJNA418674,SAMN07768275,,The Microbe sample of Escherichia coli strain SCEC020023,10/27/16,China,human,China_human_10/27/16
GCF_018972245.1,562,S10EC,Complete Genome,2009,United Kingdom:Manchester,Homo sapiens,PRJNA737575,SAMN19700013,,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,2009,United Kingdom,human,United Kingdom_human_2009
GCF_044648255.1,562,BS-04,Complete Genome,4/4/24,Indonesia: Livestock farm in Sukabumi city,Gallus gallus domesticus,PRJNA1075840,SAMN44321995,"Broiler stool, week 4",E. coli_SMI_BR-S_21,4/4/24,Indonesia,non-human,Indonesia_non-human_4/4/24
GCF_002012305.1,562,Ecol_244,Complete Genome,2010,Argentina: Buenos Aires,Homo sapiens,PRJNA316786,SAMN05511157,,,2010,Argentina,human,Argentina_human_2010
GCF_035974115.1,562,Case 6,Complete Genome,5/16/19,Germany,Homo sapiens,PRJNA1054164,SAMN38909720,Screening (rectal),Pathogen: clinical or host-associated sample from Escherichia coli,5/16/19,Germany,human,Germany_human_5/16/19
GCF_002357915.1,562,20Ec-P-124,Complete Genome,2008,Japan,Sus scrofa,PRJDB5007,SAMD00056130,,Escherichia coli str. MRY16-002,2008,Japan,non-human,Japan_non-human_2008
GCF_054112945.1,562,148,Complete Genome,2023-12,USA: Houston,Homo sapiens,PRJNA1150149,SAMN43275202,Urinary tract,Pathogen: clinical or host-associated sample from Escherichia coli,2023,USA,human,USA_human_2023
GCA_024584865.1,562,SA53-3,Complete Genome,11/21/80,Thailand,Bubalus bubalis,PRJNA320137,SAMN04917422,unknown,type II ETEC,11/21/80,Thailand,non-human,Thailand_non-human_11/21/80
GCF_054047405.1,562,167,Complete Genome,9/10/24,USA: Houston,Homo sapiens,PRJNA1308153,SAMN50685435,swab,Pathogen: clinical or host-associated sample from Escherichia coli,9/10/24,USA,human,USA_human_9/10/24
GCA_024918295.1,562,961,Complete Genome,6/18/18,USA: Houston,Homo sapiens,PRJNA836696,SAMN28173990,blood,Pathogen: clinical or host-associated sample from Escherichia coli,6/18/18,USA,human,USA_human_6/18/18
GCF_032361125.1,562,201908119,Complete Genome,2019,France,Homo sapiens,PRJNA935284,SAMN33372272,-,Sequencing of EIEC O28 strain  201908119,2019,France,human,France_human_2019
GCF_054720965.1,562,GIMC1410:G-002-25,Complete Genome,8/13/25,Russia:Moscow,Homo sapiens,PRJNA561493,SAMN54623321,sputum,Pathogen: clinical or host-associated sample from Escherichia coli,8/13/25,Russia,human,Russia_human_8/13/25
GCF_965645325.1,562,PE144,Complete Genome,2023-10,Pakistan,Gallus gallus,PRJEB87885,SAMEA117970374,liver [UBERON:0002107],"APEC strain PE144 from poultry liver, Pakistan",2023,Pakistan,non-human,Pakistan_non-human_2023
GCF_022058225.1,562,SWYHX138.261ft,Complete Genome,1/26/20,Hong Kong: New Territories,Equus ferus caballus (Thoroughbred),PRJNA802393,SAMN25554218,feces,Microbe sample from Escherichia coli,1/26/20,Hong Kong,non-human,Hong Kong_non-human_1/26/20
GCF_032293625.1,562,Escherichia coli EC16639,Complete Genome,2016,Canada,Homo sapiens,PRJNA549322,SAMN37528254,not applicable,EC16639,2016,Canada,human,Canada_human_2016
GCA_024331445.2,562,MLI106K3,Complete Genome,6/24/14,Mali: Koulikoro,Homo sapiens,PRJNA856486,SAMN29553888,stool sample,Pathogen: clinical or host-associated sample from Escherichia coli,6/24/14,Mali,human,Mali_human_6/24/14
GCF_016432805.1,562,1EC187,Complete Genome,2/16/18,Ghana: Western region,Homo sapiens,PRJNA473419,SAMN15945289,,Microbe sample from Escherichia coli,2/16/18,Ghana,human,Ghana_human_2/16/18
GCF_002007705.1,562,NCTC86,Complete Genome,1885,Germany,Homo sapiens,PRJNA373816,SAMN06314933,,Microbe sample from Escherichia coli,1885,Germany,human,Germany_human_1885
GCF_037561805.1,562,Z1323CEC0017,Complete Genome,4/19/23,South Korea,Chicken,PRJNA1087359,SAMN40441584,,Microbe sample from Escherichia coli,4/19/23,South Korea,non-human,South Korea_non-human_4/19/23
GCF_051035765.1,562,MY203L1,Complete Genome,12/20/18,China:Anhui,duck,PRJNA915422,SAMN32393315,,Microbe sample from Escherichia coli,12/20/18,China,non-human,China_non-human_12/20/18
GCF_041320135.1,562,ET350,Complete Genome,7/13/19,"China: Chenghai, Shantou, Guangdong",Hoplobatrachus rugulosus,PRJNA850883,SAMN29495207,feces,Microbe sample from Escherichia coli,7/13/19,China,non-human,China_non-human_7/13/19
GCA_025908275.1,562,TL-14,Complete Genome,12/28/21,China:Tongliao,Bovine,PRJNA890057,SAMN31266533,Diarrhea feces of calves,Microbe sample from Escherichia coli,12/28/21,China,non-human,China_non-human_12/28/21
GCF_016598635.1,562,TCM3e1,Complete Genome,7/1/19,China:Changchun,Homo sapiens,PRJNA687619,SAMN17151035,,Microbe sample from Escherichia coli,7/1/19,China,human,China_human_7/1/19
GCA_029636765.1,562,DY612,Complete Genome,3/3/19,China,pig,PRJNA599273,SAMN13742266,missing,Pathogen: environmental/food/other sample from Escherichia coli,3/3/19,China,non-human,China_non-human_3/3/19
GCA_019884625.1,562,EC1390,Complete Genome,9/17/20,Taiwan,Homo sapiens,PRJNA758726,SAMN21033173,urine,Pathogen: clinical or host-associated sample from Escherichia coli,9/17/20,Taiwan,human,Taiwan_human_9/17/20
GCA_024331345.2,562,MLI104K2,Complete Genome,6/27/14,Mali: Koulikoro,Homo sapiens,PRJNA856486,SAMN29553884,stool sample,Pathogen: clinical or host-associated sample from Escherichia coli,6/27/14,Mali,human,Mali_human_6/27/14
GCA_025563475.1,562,BM28 lysU,Complete Genome,2010-01,Germany,laboratory,PRJNA865726,SAMN30124779,Winter laboratory,Microbe sample from Escherichia coli,2010,Germany,non-human,Germany_non-human_2010
GCF_013376895.1,562,357900,Complete Genome,6/10/85,Bangladesh,Homo sapiens,PRJNA320137,SAMN04917416,unknown,type II ETEC,6/10/85,Bangladesh,human,Bangladesh_human_6/10/85
GCF_008375335.1,562,ETEC6,Complete Genome,9/24/16,Bangladesh,Homo sapiens,PRJNA554338,SAMN12263012,missing,Pathogen: environmental/food/other sample from Escherichia coli,9/24/16,Bangladesh,human,Bangladesh_human_9/24/16
GCA_025995615.1,562,57_142493,Complete Genome,11/6/14,Japan,Homo sapiens,PRJDB13729,SAMD00495929,,57_142493,11/6/14,Japan,human,Japan_human_11/6/14
GCF_054332895.1,562,FXCREC035,Complete Genome,5/3/18,China: Shanghai,Homo sapiens,PRJNA1394368,SAMN54320990,urine,Pathogen: clinical or host-associated sample from Escherichia coli,5/3/18,China,human,China_human_5/3/18
GCF_051559225.1,562,AH20K059,Complete Genome,11/26/20,Australia:Melbourne,Homo sapiens,PRJNA1287288,SAMN49815518,blood,Pathogen: clinical or host-associated sample from Escherichia coli,11/26/20,Australia,human,Australia_human_11/26/20
GCF_050932135.1,562,DSM 103263,Complete Genome,7/10/01,Germany: Berlin,chicken,PRJNA1263714,SAMN48536919,,Microbe sample from Escherichia coli,7/10/01,Germany,non-human,Germany_non-human_7/10/01
GCF_045344615.1,562,Z1323HEC0067,Complete Genome,4/24/23,South Korea,Homo sapiens,PRJNA1087359,SAMN40441592,,Microbe sample from Escherichia coli,4/24/23,South Korea,human,South Korea_human_4/24/23
GCF_045672425.1,562,CT265,Complete Genome,2007,China,avian,PRJNA826997,SAMN27607325,,Microbe sample from Escherichia coli,2007,China,non-human,China_non-human_2007
GCA_014541045.1,562,DA61218,Complete Genome,2017-02,Sweden,Homo sapiens,PRJNA662022,SAMN16073343,,Microbe sample from Escherichia coli,2017,Sweden,human,Sweden_human_2017
GCF_048404345.1,562,488,Complete Genome,8/28/19,Taiwan,Homo sapiens,PRJNA1197009,SAMN45771130,wound pus,Pathogen: clinical or host-associated sample from Escherichia coli,8/28/19,Taiwan,human,Taiwan_human_8/28/19
GCF_052974845.1,562,C8,Complete Genome,6/4/18,"USA: Dallas, Texas",Homo sapiens,,SAMN48712665,urine,Pathogen: clinical or host-associated sample from Escherichia coli,6/4/18,USA,human,USA_human_6/4/18
GCA_003956485.1,562,120899,Complete Genome,7/9/12,Gambia,Homo sapiens,PRJNA421191,SAMN08161259,stool,Pathogen: clinical or host-associated sample from Escherichia coli,7/9/12,Gambia,human,Gambia_human_7/9/12
GCF_003018255.1,562,2012C-4502,Complete Genome,2012-09,USA,Homo sapiens,PRJNA218110,SAMN08579579,stool,Pathogen: clinical or host-associated sample from Escherichia coli,2012,USA,human,USA_human_2012
GCA_002220265.1,562,FORC_044,Complete Genome,3/9/15,South Korea: Seoul,Homo sapiens,PRJNA330605,SAMN05417814,stool,Pathogen: clinical or host-associated sample from Escherichia coli,3/9/15,South Korea,human,South Korea_human_3/9/15
GCF_003991155.1,562,EC17GD31,Complete Genome,3/20/17,Viet Nam: Ho Chi Minh city,Homo sapiens,PRJNA482900,SAMN09717320,blood,Pathogen: clinical or host-associated sample from Escherichia coli,3/20/17,Viet Nam,human,Viet Nam_human_3/20/17
GCA_025808215.1,562,SW4848,Complete Genome,11/2/15,"USA: City Park Lake, Baton Rouge, Louisiana",Water from a lake,PRJNA888808,SAMN31221298,,Microbe sample from Escherichia coli,11/2/15,USA,non-human,USA_non-human_11/2/15
GCA_009867015.2,562,CFS3292,Complete Genome,1/15/10,France,Bos taurus,PRJNA433820,SAMN08522749,Bovine adult,Microbe sample from Escherichia coli,1/15/10,France,non-human,France_non-human_1/15/10
GCA_022493755.1,562,A7,Complete Genome,1999,USA,Orangutan,PRJNA293615,SAMN04100028,feces,Microbe sample from Escherichia coli,1999,USA,non-human,USA_non-human_1999
GCA_027925825.1,562,10153,Complete Genome,1999,Japan:Miyazaki,Homo sapiens,PRJDB14896,SAMD00562889,missing,Escherichia coli strain 10153,1999,Japan,human,Japan_human_1999
GCF_051122395.1,562,CEA224S,Complete Genome,2016-05,France,Homo sapiens,PRJNA1144367,SAMN43033423,biopsy,One Health Enteric sample from Escherichia coli,2016,France,human,France_human_2016
GCA_002812545.1,562,SC516,Complete Genome,1/12/15,China: Sichuan,Chicken,PRJNA420050,SAMN08104834,liver,Pathogen: clinical or host-associated sample from Escherichia coli,1/12/15,China,non-human,China_non-human_1/12/15
GCF_002012145.1,562,Ecol_AZ159,Complete Genome,2013,Colombia: Bogota,Homo sapiens,PRJNA316786,SAMN05511159,,,2013,Colombia,human,Colombia_human_2013
GCF_022558905.1,562,EC11,Complete Genome,7/24/16,China: Hangzhou,Homo sapiens,PRJNA608094,SAMN15904655,urine,Pathogen: clinical or host-associated sample from Escherichia coli,7/24/16,China,human,China_human_7/24/16
GCA_029536675.1,562,B771,Complete Genome,2009,Czech Republic,Homo sapiens,PRJNA944444,SAMN33748626,feces,Microbe sample from Escherichia coli,2009,Czech Republic,human,Czech Republic_human_2009
GCF_045278825.1,562,M23917,Complete Genome,12/30/18,Argentina: Buenos Aires,Homo sapiens,PRJNA1006687,SAMN37196949,urine,Pathogen: clinical or host-associated sample from Escherichia coli,12/30/18,Argentina,human,Argentina_human_12/30/18
GCF_031785675.1,562,M23314,Complete Genome,5/23/18,Argentina: La Pampa,Homo sapiens,PRJNA1006687,SAMN37196947,blood,Pathogen: clinical or host-associated sample from Escherichia coli,5/23/18,Argentina,human,Argentina_human_5/23/18
GCF_029625095.1,562,E20,Complete Genome,2020-08,China:Hebei,chicken,PRJNA948979,SAMN33924086,,Microbe sample from Escherichia coli,2020,China,non-human,China_non-human_2020
GCF_003017935.1,562,2015C-3121,Complete Genome,2014-08,USA,Homo sapiens,PRJNA218110,SAMN08579565,stool,Pathogen: clinical or host-associated sample from Escherichia coli,2014,USA,human,USA_human_2014
GCA_021498025.2,562,258E,Complete Genome,4/21/18,China:ANhui,duck,PRJNA634454,SAMN14996619,,Microbe sample from Escherichia coli,4/21/18,China,non-human,China_non-human_4/21/18
GCF_023277345.1,562,17-07187,Complete Genome,2017,Germany,Homo sapiens,PRJNA833419,SAMN27988043,feces,Pathogen: clinical or host-associated sample from Escherichia coli,2017,Germany,human,Germany_human_2017
GCF_024584645.1,562,YL3,Complete Genome,6/10/21,China: Guangzhou,Homo sapiens,PRJNA792466,SAMN24425732,,Microbe sample from Escherichia coli,6/10/21,China,human,China_human_6/10/21
GCF_055378115.1,562,AST217,Complete Genome,2020,Japan,Homo sapiens,,SAMD01599421,,Complete genome of Escherichia coli strain AST217,2020,Japan,human,Japan_human_2020
GCA_009664455.1,562,AUSMDU00002545,Complete Genome,2013,Australia,Homo sapiens,PRJNA556438,SAMN13191633,missing,Escherichia coli ST11 Serogroup O157:H7,2013,Australia,human,Australia_human_2013
GCF_025200675.1,562,USDA-ARS-USMARC-49610,Complete Genome,9/28/13,USA:Kentucky,Bos taurus,PRJNA281531,SAMN30466956,feedlot,Pathogen: clinical or host-associated sample from Escherichia coli,9/28/13,USA,non-human,USA_non-human_9/28/13
GCF_053171995.1,562,B19,Complete Genome,6/12/25,China: Ningxia,sheep,PRJNA1346393,SAMN52831850,fecal sample,Microbe sample from Escherichia coli,6/12/25,China,non-human,China_non-human_6/12/25
GCF_032366635.1,562,TW10690,Complete Genome,7/24/96,Guinea-Bissau: Bissau,Homo sapiens,PRJNA972609,SAMN35083899,stool,ETEC TW10690 19960724,7/24/96,Guinea-Bissau,human,Guinea-Bissau_human_7/24/96
GCF_037543765.1,562,Z1323HEC0475,Complete Genome,5/22/23,South Korea,Homo sapiens,PRJNA1087359,SAMN40441603,,Microbe sample from Escherichia coli,5/22/23,South Korea,human,South Korea_human_5/22/23
GCA_025790905.1,562,2020CK-00232,Complete Genome,5/9/20,USA,Homo sapiens,PRJNA812595,SAMN15907166,urine,Pathogen: clinical or host-associated sample from Escherichia coli,5/9/20,USA,human,USA_human_5/9/20
GCF_002846135.1,562,MS8345,Complete Genome,2016,Qatar,Homo sapiens,PRJNA421388,SAMN08148171,Respiratory secretions,Pathogen: clinical or host-associated sample from Escherichia coli,2016,Qatar,human,Qatar_human_2016
GCF_036703555.1,562,SCPM-O-B-9504,Complete Genome,2021-06,Russia: Rostov-on-Don,Homo sapiens,PRJNA269675,SAMN39918099,feces,Microbe sample from Escherichia coli,2021,Russia,human,Russia_human_2021
GCF_041870155.1,562,IH5,Complete Genome,12/30/23,Iraq,Homo sapiens,PRJNA1105231,SAMN41098568,urine,Pathogen: clinical or host-associated sample from Escherichia coli,12/30/23,Iraq,human,Iraq_human_12/30/23
GCA_001280345.1,562,SF-468,Complete Genome,4/5/10,USA: San Francisco,Homo sapiens,PRJNA294467,SAMN04026228,patient blood,Pathogen: clinical or host-associated sample from Escherichia coli,4/5/10,USA,human,USA_human_4/5/10
GCF_041021985.1,562,723_010814_2_1,Complete Genome,8/1/14,Denmark: Copenhagen,Poultry,PRJNA1123745,SAMN41822573,Salpingitis,Pathogen: clinical or host-associated sample from Escherichia coli,8/1/14,Denmark,non-human,Denmark_non-human_8/1/14
GCF_025946585.1,562,EC488,Complete Genome,8/4/21,China,Homo sapiens,PRJNA865002,SAMN30088785,urine,Pathogen: clinical or host-associated sample from Escherichia coli,8/4/21,China,human,China_human_8/4/21
GCF_051669855.1,562,W12-1,Complete Genome,12/2/21,"China:Gansu,Wuwei",Bos taurus,PRJNA1294575,SAMN50109978,,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli W12-1,12/2/21,China,non-human,China_non-human_12/2/21
GCF_030988825.1,562,MS8324,Complete Genome,2011,Australia: Western Australia,Homo sapiens,PRJNA493523,SAMN10141490,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2011,Australia,human,Australia_human_2011
GCA_014075795.1,562,58-3,Complete Genome,5/12/19,China:Sichuan,broiler chicken,PRJNA610125,SAMN14278029,,Microbe sample from Escherichia coli,5/12/19,China,non-human,China_non-human_5/12/19
GCF_053048125.1,562,MDK9L1,Complete Genome,8/30/19,China:Liaocheng,donkey,,SAMN20703518,missing,Pathogen: environmental/food/other sample from Escherichia coli,8/30/19,China,non-human,China_non-human_8/30/19
GCF_900622685.1,562,MS14387,Complete Genome,9/3/09,Australia,Homo sapiens,PRJEB29930,SAMEA5128445,blood,MS14387,9/3/09,Australia,human,Australia_human_9/3/09
GCF_045689345.1,562,YA-1,Complete Genome,3/1/23,China,duck,PRJNA1031530,SAMN37939463,rectum,Microbe sample from Escherichia coli,3/1/23,China,non-human,China_non-human_3/1/23
GCF_006777065.1,562,MSHS 472,Complete Genome,3/16/06,Canada: Montreal,Homo sapiens,PRJNA551565,SAMN12158201,urine from healthy adult with cystitis,Pathogen: clinical or host-associated sample from Escherichia coli,3/16/06,Canada,human,Canada_human_3/16/06
GCF_045344605.1,562,Z1323CEC0005,Complete Genome,2/24/23,South Korea,Chicken,PRJNA1087359,SAMN40441572,,Microbe sample from Escherichia coli,2/24/23,South Korea,non-human,South Korea_non-human_2/24/23
GCF_029962445.1,562,P4,Complete Genome,2016,Australia,Canis lupus familiaris,PRJNA718456,SAMN18536560,Uterus,Escherichia coli UPEC P4,2016,Australia,non-human,Australia_non-human_2016
GCA_022023755.1,562,IGC_RcoliRes_1.1,Complete Genome,2015-04,Portugal:Oeiras,Mus musculus (G2 mouse),PRJNA633524,SAMN15163749,not applicable,Microbe sample from Escherichia coli,2015,Portugal,non-human,Portugal_non-human_2015
GCF_054331815.1,562,FXCREC028,Complete Genome,5/8/18,China: Shanghai,Homo sapiens,PRJNA1394364,SAMN54320938,urine,Pathogen: clinical or host-associated sample from Escherichia coli,5/8/18,China,human,China_human_5/8/18
GCF_052975085.1,562,FXCREC004,Complete Genome,1/1/18,China: Shanghai,Homo sapiens,,SAMN49838005,physical,Escherichia coli FXCREC004 isolated from urine,1/1/18,China,human,China_human_1/1/18
GCA_025995675.1,562,61_150228,Complete Genome,12/27/14,Japan,Homo sapiens,PRJDB13729,SAMD00495933,,61_150228,12/27/14,Japan,human,Japan_human_12/27/14
GCF_013376575.1,562,ARL09/232,Complete Genome,2009,New Zealand,Homo sapiens,PRJNA611848,SAMN14351533,urine,Pathogen: clinical or host-associated sample from Escherichia coli,2009,New Zealand,human,New Zealand_human_2009
GCA_003956425.1,562,504211,Complete Genome,2/22/10,India,Homo sapiens,PRJNA421191,SAMN08161312,stool,Pathogen: clinical or host-associated sample from Escherichia coli,2/22/10,India,human,India_human_2/22/10
GCF_014131595.1,562,US03,Complete Genome,2015,Belgium: Antwerp,Homo sapiens,PRJNA592372,SAMN13423049,blood,Pathogen: clinical or host-associated sample from Escherichia coli,2015,Belgium,human,Belgium_human_2015
GCA_002357875.1,562,MRY15-131,Complete Genome,2013,Japan,Bos taurus,PRJDB5007,SAMD00056132,,Escherichia coli str. MRY15-131,2013,Japan,non-human,Japan_non-human_2013
GCF_052887665.1,562,VTB97432v,Complete Genome,10/14/21,South Africa,Chicken,,SAMN41579944,,Microbe sample from Escherichia coli,10/14/21,South Africa,non-human,South Africa_non-human_10/14/21
GCF_025723205.1,562,RSHH22,Complete Genome,2019,Germany: Marburg,Mus musculus,PRJNA833279,SAMN27967421,,Microbe sample from Escherichia coli,2019,Germany,non-human,Germany_non-human_2019
GCF_024917995.1,562,3090,Complete Genome,10/27/16,USA: Houston,Homo sapiens,PRJNA836696,SAMN28174017,blood,Pathogen: clinical or host-associated sample from Escherichia coli,10/27/16,USA,human,USA_human_10/27/16
GCA_007998005.1,562,NCYU-29-19,Complete Genome,2017,Taiwan,Sus scrofa domesticus,PRJNA558860,SAMN12500849,missing,Pathogen: clinical or host-associated sample from Escherichia coli,2017,Taiwan,non-human,Taiwan_non-human_2017
GCA_009873355.1,562,NCCP 15739,Complete Genome,7/19/10,South Korea: Busan,Homo sapiens,PRJNA555173,SAMN12302771,stool,Pathogen: clinical or host-associated sample from Escherichia coli,7/19/10,South Korea,human,South Korea_human_7/19/10
GCF_040529125.1,562,PKF4,Complete Genome,6/17/22,Pakistan: Faisalabad,Milvus migrans,PRJNA1112118,SAMN41414932,Wild birds,Pathogen: clinical or host-associated sample from Escherichia coli,6/17/22,Pakistan,non-human,Pakistan_non-human_6/17/22
GCF_010725305.1,562,E302,Complete Genome,12/1/15,Japan:Osaka,Homo sapiens,PRJDB6565,SAMD00186874,,whole genome sequence of E302,12/1/15,Japan,human,Japan_human_12/1/15
GCF_036500705.1,562,PSS-04,Complete Genome,2019,Ecuador:Puyo,Homo sapiens,PRJDB14867,SAMD00562521,feces,"Escherichia coli strain PSS-04, DNA, complete genome",2019,Ecuador,human,Ecuador_human_2019
GCF_040500385.1,562,8178,Complete Genome,2/10/23,Switzerland: Zurich,Mus musculus,PRJNA1096466,SAMN40757033,,Microbe sample from Escherichia coli,2/10/23,Switzerland,non-human,Switzerland_non-human_2/10/23
GCF_003018895.1,562,2014C-3057,Complete Genome,2013-05,USA,Homo sapiens,PRJNA218110,SAMN08579576,stool,Pathogen: clinical or host-associated sample from Escherichia coli,2013,USA,human,USA_human_2013
GCA_024584825.1,562,SA31-1,Complete Genome,11/1/80,Thailand,Bubalus bubalis,PRJNA320137,SAMN04917424,unknown,type II ETEC,11/1/80,Thailand,non-human,Thailand_non-human_11/1/80
GCA_002764015.1,562,LS4,Complete Genome,3/1/15,"China:LaSa, XiZang",Bos mutus,PRJNA417204,SAMN07980822,,Microbe sample from Escherichia coli,3/1/15,China,non-human,China_non-human_3/1/15
GCF_050956525.1,562,TOE3,Complete Genome,2014,Myanmar,Homo sapiens,PRJNA681500,SAMN16955024,feces,Microbe sample from Escherichia coli,2014,Myanmar,human,Myanmar_human_2014
GCA_009577985.1,562,CCUG 73778,Complete Genome,12/18/08,Sweden:Gothenburg,Homo sapiens,PRJNA305687,SAMN12169096,blood,Microbe sample from Escherichia coli,12/18/08,Sweden,human,Sweden_human_12/18/08
GCA_028743555.1,562,B-1109,Complete Genome,8/5/21,USA,Homo sapiens,PRJNA933698,SAMN33246662,,Microbe sample from Escherichia coli,8/5/21,USA,human,USA_human_8/5/21
GCF_004377995.2,562,1517k,Complete Genome,2012-09,Paraguay,Gallus gallus domesticus,PRJNA513237,SAMN11130353,,Microbe sample from Escherichia coli,2012,Paraguay,non-human,Paraguay_non-human_2012
GCF_030295075.1,562,LR-50,Complete Genome,3/9/19,Ecuador:SantoDomingo,Homo sapiens,PRJDB8858,SAMD00439260,,Escherichia coli isolated from healthy human feces 2019Mar_LR50,3/9/19,Ecuador,human,Ecuador_human_3/9/19
GCF_022559875.1,562,LC-1302-2020,Complete Genome,11/9/20,Italy,Homo sapiens,PRJNA801146,SAMN25301092,rectal swab,Pathogen: clinical or host-associated sample from Escherichia coli,11/9/20,Italy,human,Italy_human_11/9/20
GCF_051991435.1,562,602687,Complete Genome,2009,Bangladesh,Homo sapiens,,SAMN48111086,stool,WGS of hybrid Escherichia coli isolate 602687,2009,Bangladesh,human,Bangladesh_human_2009
GCF_037081985.1,562,A1.S1.126,Complete Genome,10/13/21,Poland:Olsztyn,Homo sapiens,PRJNA1082105,SAMN40199713,urine,Pathogen: clinical or host-associated sample from Escherichia coli,10/13/21,Poland,human,Poland_human_10/13/21
GCF_006536085.2,562,NIPH17_0020,Complete Genome,2017,Cambodia:Phnom Penh,Homo sapiens,PRJDB6936,SAMD00164387,,Escherichia coli NIPH17_0020,2017,Cambodia,human,Cambodia_human_2017
GCA_008632575.1,562,AR216.2b,Complete Genome,7/18/17,Switzerland:Zurich,dog,PRJNA565187,SAMN12736390,Rectal swab,Microbe sample from Escherichia coli,7/18/17,Switzerland,non-human,Switzerland_non-human_7/18/17
GCF_048572635.1,562,AREA_497,Complete Genome,9/20/21,"USA: Georgia, Athens",Homo sapiens,PRJNA894544,SAMN33912506,stool,MIGS Cultured Bacterial/Archaeal sample from Escherichia coli,9/20/21,USA,human,USA_human_9/20/21
GCF_037938425.1,562,EP91B,Complete Genome,6/10/18,China: henan,pig,PRJNA1087160,SAMN40435416,,Microbe sample from Escherichia coli,6/10/18,China,non-human,China_non-human_6/10/18
GCF_054898225.1,562,CUVET24-IPD24,Complete Genome,2024-05,Thailand: Bangkok,Dog,,SAMN47927582,Feces/rectal swab,Microbe sample from Escherichia coli,2024,Thailand,non-human,Thailand_non-human_2024
